id,latitude,longitude,elevation,isolation
2,35.8817,76.5125,8613.95,1315607.9
3,27.7033,88.1475,8585.91,124183.4
12,28.6975,83.4925,8167.12,317503.9
13,28.55,84.56,8162.85,105567.7
14,35.2375,74.5892,8125.05,187856.3
33,36.3258,75.1883,7884.87,128393.7
39,30.3758,79.9708,7815.99,387979.4
45,29.6325,95.0542,7781.85,706845.1
61,36.255,71.84,7708.09,238571.4
64,30.4383,81.2958,7694.07,127501.0
70,34.8667,77.7533,7672.12,101393.9
75,38.5933,75.3125,7648.96,239771.6
84,28.0467,90.4558,7570.01,227892.2
85,29.5967,101.8783,7555.99,660561.6
104,38.9442,72.015,7495.03,278701.5
125,42.035,80.1283,7438.95,558015.2
183,27.8275,89.2675,7296.91,105596.4
246,35.3158,80.915,7167.07,288395.0
250,30.3675,90.585,7161.89,162123.2
264,33.98,76.0217,7135.06,166676.4
294,29.8333,84.6133,7095.13,119128.1
325,27.8658,92.5317,7060.08,189622.5
391,36.4125,87.385,6972.91,596419.7
392,35.6517,82.3117,6970.78,131770.9
396,-32.6533,-70.0125,6961.94,16517582.0
409,30.9042,93.7875,6956.15,164771.7
438,33.9233,89.2108,6929.02,322365.3
468,-27.11,-68.5425,6893.05,630511.0
485,29.1658,96.7242,6882.08,163556.4
512,36.0242,90.8658,6860.13,277766.7
566,31.6967,85.0633,6822.03,210745.8
576,31.8842,78.735,6815.94,104778.9
643,-9.1208,-77.605,6768.08,2207643.1
681,34.0958,79.84,6750.71,165195.4
684,36.7242,84.6017,6747.97,232032.7
697,28.4383,98.685,6740.04,207708.1
701,-24.72,-68.5367,6739.13,264411.7
738,33.7233,78.5283,6725.11,107629.2
747,32.8083,81.0008,6719.93,178920.8
953,31.0392,83.4417,6630.92,148604.1
985,33.4958,91.1675,6620.87,187471.5
996,-10.2683,-76.905,6616.9,147723.3
1069,30.4708,86.5575,6594.96,195801.5
1249,-18.1083,-68.8833,6548.93,732567.9
1512,34.3942,85.8492,6495.9,260271.5
1818,-25.5625,-67.8808,6440.12,113809.8
1842,-16.6483,-67.7808,6437.99,199258.8
1890,-15.8542,-68.5408,6427.01,119681.8
2049,30.8167,88.6617,6405.98,163826.3
2056,-15.5458,-72.6608,6405.07,442942.5
2283,-24.9325,-66.3908,6380.07,165349.9
2336,-13.7883,-71.2292,6372.15,245670.0
2626,35.6633,85.6175,6339.84,138130.5
2731,31.815,94.7,6327.95,129434.5
3171,33.065,88.54,6289.85,114842.7
3267,34.7917,99.4675,6281.93,553172.9
3286,-30.42,-69.7808,6280.1,174411.0
3366,32.3025,87.3875,6274.92,110912.2
3458,33.3425,85.2158,6268.82,122009.2
3468,29.7908,88.285,6267.91,119089.9
3489,-1.4675,-78.8175,6266.99,845643.0
3511,-13.3333,-72.545,6263.94,150543.6
3652,33.4633,86.7758,6253.89,127866.9
3708,31.1067,102.9017,6249.92,176297.4
3786,37.9133,87.3892,6245.05,152212.5
3836,35.5567,89.5783,6242.0,123578.8
4138,35.6583,94.2617,6224.02,296970.6
4484,29.8075,99.6058,6203.9,130813.8
4748,63.0692,-151.0067,6190.49,7450213.9
5009,-21.2208,-68.4683,6175.86,331697.1
5166,31.7867,99.0733,6167.93,225262.5
5167,-29.13,-69.7867,6167.93,129616.7
6609,34.2517,84.2717,6108.8,117781.8
6943,-29.0142,-67.8267,6096.91,140905.5
7913,38.19,88.9083,6064.91,136449.2
8536,-23.2925,-67.6175,6046.01,108490.4
8612,-14.6533,-69.2283,6043.88,147589.2
9027,28.395,100.35,6031.99,161961.6
9439,-22.2642,-67.1867,6020.1,122170.1
9722,-26.53,-67.0592,6011.88,127175.7
10425,-19.7533,-68.6967,5995.11,152543.2
10523,31.4525,100.2233,5992.06,115098.7
10879,41.0683,77.6817,5982.0,202327.8
11858,60.5675,-140.4058,5956.1,622726.0
12887,-24.0625,-65.7458,5929.88,101627.6
14329,-12.2592,-75.9592,5896.97,238138.3
14419,-3.0767,37.3542,5895.14,5509693.8
17433,33.5717,94.9308,5832.96,191318.3
17593,39.2508,93.6967,5829.91,373481.4
18693,38.5,97.725,5807.96,359265.6
21532,38.0383,95.3242,5758.89,195252.3
22120,-10.5308,-75.9317,5747.92,106669.6
23152,10.8392,-73.6867,5729.94,1287041.7
27302,37.6933,90.6183,5668.98,109204.2
27662,32.7042,96.8842,5663.79,146025.6
29291,43.3542,42.4358,5641.85,2469398.9
29371,39.1942,95.295,5640.93,128049.4
29765,19.0308,-97.27,5636.06,2690265.4
31798,35.9558,52.11,5610.15,1164998.4
33111,-20.9175,-66.0358,5597.04,103248.5
33193,27.0983,100.175,5596.13,139977.0
33821,32.6758,103.8467,5587.9,168768.8
35680,-11.9058,-75.0525,5566.87,101145.3
37205,-27.2142,-66.0942,5550.1,117058.5
42047,35.8267,96.95,5499.81,140476.6
43072,39.1975,68.195,5489.75,179266.0
47215,-19.8025,-66.4792,5449.82,131832.4
47547,-15.3775,-70.6767,5446.78,108169.6
47782,43.8017,88.3333,5444.95,609405.2
51815,6.495,-72.2967,5409.9,499145.2
52978,19.0225,-98.6275,5400.14,142563.4
54226,2.9233,-76.0283,5390.08,386379.8
56785,33.29,101.105,5369.05,211054.1
64280,4.8917,-75.3183,5311.14,231292.2
66933,33.2567,98.7417,5290.72,130944.4
67194,43.4383,86.0833,5288.89,185699.6
72005,37.6933,101.505,5254.14,251269.9
80468,-0.1525,37.3092,5198.97,319857.2
90185,39.7033,44.2992,5137.1,379313.5
95124,0.3858,29.8733,5109.06,829793.6
104412,38.3158,100.2767,5054.8,109239.6
105718,34.6433,67.625,5048.1,133752.3
108390,42.6958,44.5192,5034.08,113623.9
109086,-22.1467,-65.1933,5029.81,118580.2
111234,-78.535,-85.5708,5018.84,4928843.3
118448,8.5408,-71.0467,4981.04,261720.3
118449,35.5417,101.5033,4980.74,175931.5
118827,43.1183,77.34,4978.91,137519.0
134660,42.52,74.5558,4895.09,233567.2
136227,43.0733,94.3467,4885.94,420231.1
136584,-4.0783,137.1583,4884.12,5235054.7
142936,34.1892,103.4292,4847.84,147151.5
149116,38.2667,47.8367,4810.96,344479.3
149290,45.8325,6.865,4810.05,2812004.6
150134,36.3858,50.96,4804.87,112621.0
150447,33.6217,67.0475,4803.04,124009.9
157878,-4.7083,140.2892,4757.01,350917.5
158177,34.0383,69.9033,4754.88,121999.6
158528,56.0558,160.6417,4752.75,2750302.5
159054,-4.2617,138.6817,4750.0,166856.3
165700,-36.6375,-70.4325,4708.86,194523.3
170237,19.1017,-99.7675,4679.9,117665.2
171728,58.9067,-137.5267,4671.06,200314.2
179159,45.0417,80.2575,4621.99,294751.4
179160,45.1658,80.9433,4621.99,253455.1
190144,13.2367,38.3683,4550.05,1482220.9
190456,32.3675,50.0867,4547.92,437844.3
193319,-84.3325,166.4308,4528.11,1584986.0
194478,-1.5058,29.45,4518.96,206147.7
195804,-5.78,145.03,4508.91,537702.1
196225,49.805,86.5908,4505.86,668324.0
197047,29.5117,57.2717,4500.07,755873.2
199522,42.3083,71.025,4482.08,279981.7
201696,41.2208,47.8583,4465.93,259092.6
206532,41.4108,72.9117,4428.13,115681.7
